SHEET: Wheel Support

A1    | t=s          | F:  | V: Summer Supply Intlet
L1    | t=s          | F:  | V: Winter Supply Intlet
W1    | t=s          | F:  | V: Summer Exhaust Intlet
AH1   | t=s          | F:  | V: Winter Exhaust Intlet
AS1   | t=s          | F:  | V: Winter Supply Outlet
BD1   | t=s          | F:  | V: Winter Exhaust Outlet (moisture content unchanged)
BO1   | t=s          | F:  | V: Summer Supply Outlet
BZ1   | t=s          | F:  | V: Summer Exhaust Outlet
B2    | t=           | F: Wheel!AE4 | V: 0
E2    | t=s          | F:  | V: Atmospheric Pressure
F2    | t=           | F: Wheel!$G$3 | V: 101.325
G2    | t=s          | F:  | V: kPa
M2    | t=           | F: Wheel!AE7 | V: 0
P2    | t=s          | F:  | V: Atmospheric Pressure
Q2    | t=           | F: Wheel!$G$3 | V: 101.325
R2    | t=s          | F:  | V: kPa
X2    | t=           | F: Wheel!AE10 | V: 0
AA2   | t=s          | F:  | V: Atmospheric Pressure
AB2   | t=           | F: Wheel!$G$3 | V: 101.325
AC2   | t=s          | F:  | V: kPa
AI2   | t=           | F: Wheel!AE13 | V: 0
AL2   | t=s          | F:  | V: Atmospheric Pressure
AM2   | t=           | F: Wheel!$G$3 | V: 101.325
AN2   | t=s          | F:  | V: kPa
AT2   | t=str        | F: Wheel!BV11 | V: n/a
AW2   | t=s          | F:  | V: Atmospheric Pressure
AX2   | t=           | F: Wheel!$G$3 | V: 101.325
AY2   | t=s          | F:  | V: kPa
BE2   | t=str        | F: Wheel!CK11 | V: n/a
BH2   | t=s          | F:  | V: Atmospheric Pressure
BI2   | t=           | F: Wheel!$G$3 | V: 101.325
BJ2   | t=s          | F:  | V: kPa
BP2   | t=str        | F: Wheel!CZ11 | V: n/a
BS2   | t=s          | F:  | V: Atmospheric Pressure
BT2   | t=           | F: Wheel!$G$3 | V: 101.325
BU2   | t=s          | F:  | V: kPa
CA2   | t=str        | F: Wheel!DO11 | V: n/a
CD2   | t=s          | F:  | V: Atmospheric Pressure
CE2   | t=           | F: Wheel!$G$3 | V: 101.325
CF2   | t=s          | F:  | V: kPa
B3    | t=           | F: Wheel!AG4 | V: 0
E3    | t=s          | F:  | V: Altitude
F3    | t=           | F: Wheel!$G$4 | V: 1.2
G3    | t=s          | F:  | V: m
M3    | t=           | F: Wheel!AG7 | V: 0
P3    | t=s          | F:  | V: Altitude
Q3    | t=           | F: Wheel!$G$4 | V: 1.2
R3    | t=s          | F:  | V: m
X3    | t=           | F: Wheel!AG10 | V: 0
AA3   | t=s          | F:  | V: Altitude
AB3   | t=           | F: Wheel!$G$4 | V: 1.2
AC3   | t=s          | F:  | V: m
AI3   | t=           | F: Wheel!AG13 | V: 0
AL3   | t=s          | F:  | V: Altitude
AM3   | t=           | F: Wheel!$G$4 | V: 1.2
