SHEET: Supporting 5.1

A1    | t=s          | F:  | V: 1. F(T)=((2501-2.381*t*)*Ws(t*)-(t-t*))/(2501+1.805*t-4.186*t*)-W
A3    | t=s          | F:  | V: ! t*= Wet bulb temperature (Psychrometric chart B8)
A4    | t=s          | F:  | V: ! t= Dry bulb temperature 
A5    | t=s          | F:  | V: ! Ws(t*)= Humidity ratio at saturation pressure of water vapour (Supporting 5 A7)
A6    | t=s          | F:  | V: ! W= Humidity ration (Supporting 5 A15)
A8    | t=s          | F:  | V: BY SECANT METHOD:
A9    | t=s          | F:  | V: k
B9    | t=s          | F:  | V: tk-1
C9    | t=s          | F:  | V: tk
D9    | t=s          | F:  | V: F(tK)
E9    | t=s          | F:  | V: F(tK-1)
F9    | t=s          | F:  | V: tk+1
A10   | t=           | F:  | V: 1
B10   | t=           | F:  | V: 0
C10   | t=           | F:  | V: 50
D10   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(C10-'Psychrometric Chart'!$C$10))/(2501+1.805*C10-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: -2.3833339499869568E-3
E10   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(B10-'Psychrometric Chart'!$C$10))/(2501+1.805*B10-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: 1.8324330462131739E-2
F10   | t=           | F: C10-(C10-B10)*D10/(D10-E10) | V: 44.24528545915549
A11   | t=           | F:  | V: 2
B11   | t=           | F: C10 | V: 50
C11   | t=           | F: F10:F10 | V: 44.24528545915549
D11   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(C11-'Psychrometric Chart'!$C$10))/(2501+1.805*C11-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: -7.6120865486509984E-5
E11   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(B11-'Psychrometric Chart'!$C$10))/(2501+1.805*B11-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: -2.3833339499869568E-3
F11   | t=           | F:  | V: 44.055422695971771
A12   | t=           | F:  | V: 3
B12   | t=           | F:  | V: 44.24528545915549
C12   | t=           | F:  | V: 44.055422695971771
D12   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(C12-'Psychrometric Chart'!$C$10))/(2501+1.805*C12-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: 3.2669014909990704E-7
E12   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(B12-'Psychrometric Chart'!$C$10))/(2501+1.805*B12-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: -7.6120865486509984E-5
F12   | t=           | F:  | V: 44.056234053429797
A13   | t=           | F:  | V: 4
B13   | t=           | F:  | V: 44.055422695971771
C13   | t=           | F:  | V: 44.056234053429797
D13   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(C13-'Psychrometric Chart'!$C$10))/(2501+1.805*C13-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: -4.4588927602257078E-11
