SHEET: Supporting 6.1

A1    | t=s          | F:  | V: 1. μ = W/Ws
A2    | t=s          | F:  | V: 2. Ws = 0.62198*Pws/(P-Pws)
A3    | t=s          | F:  | V: 3.  Pws = EXP(-5800.2206/(273.15+t)+1.3914993-0.048640239*(273.15+t)+0.000041764768*POWER((273.15+t),2)-0.000000014452093*POWER((273.15+t),3)+6.5459673*LN(273.15+t))/1000
A4    | t=s          | F:  | V: 4. Φ = μ/(1-(1-μ)*(Pws/P))
A5    | t=s          | F:  | V: 5. Φ =(W/(0.62198*Pws/(P-Pws))) /(1-(1-W/(0.62198*Pws/(P-Pws)))*(Pws/P))
A6    | t=s          | F:  | V: 6. F(t) = (W/(0.62198*Pws/(P-Pws))) /(1-(1-W/(0.62198*Pws/(P-Pws)))*(Pws/P))-Φ
A8    | t=s          | F:  | V: ! W = Humidity ratio (Supporting 6 A7)
A9    | t=s          | F:  | V: ! Φ = Relative humidity (Psychrometric chart B10)
A10   | t=s          | F:  | V: ! P = Pressure (Psychrometric chart B3)
A11   | t=s          | F:  | V: ! Pws= Saturation pressure for temperature t 
A12   | t=s          | F:  | V: ! t = Dry bulb temperature 
A14   | t=s          | F:  | V: BY SECANT METHOD:
A15   | t=s          | F:  | V: k
B15   | t=s          | F:  | V: tk-1
C15   | t=s          | F:  | V: tk
D15   | t=s          | F:  | V: Pws(tk)
E15   | t=s          | F:  | V: Pws(tk-1)
F15   | t=s          | F:  | V: μ(tk)
G15   | t=s          | F:  | V: μ(tk-1)
H15   | t=s          | F:  | V: F(tk)
I15   | t=s          | F:  | V: F(tk-1)
J15   | t=s          | F:  | V: tk+1
A16   | t=           | F:  | V: 1
B16   | t=           | F:  | V: 0
C16   | t=           | F:  | V: 50
D16   | t=           | F: EXP(-5800.2206/(273.15+C16)+1.3914993-0.048640239*(273.15+C16)+0.000041764768*POWER((273.15+C16),2)-0.000000014452093*POWER((273.15+C16),3)+6.5459673*LN(273.15+C16))/1000 | V: 12.349856466723748
E16   | t=           | F: EXP(-5800.2206/(273.15+B16)+1.3914993-0.048640239*(273.15+B16)+0.000041764768*POWER((273.15+B16),2)-0.000000014452093*POWER((273.15+B16),3)+6.5459673*LN(273.15+B16))/1000 | V: 0.6112128674511893
F16   | t=           | F: 'Supporting 6'!$A$7/(0.62198*D16/('Psychrometric Chart'!$C$6-D16)) | V: 4.3723039848165481E-2
G16   | t=           | F: 'Supporting 6'!$A$7/(0.62198*E16/('Psychrometric Chart'!$C$6-E16)) | V: 1.0000000000000036
H16   | t=           | F: F16/(1-(1-F16)*(D16/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 4.9491495637870996E-2
I16   | t=           | F: G16/(1-(1-G16)*(E16/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 1.0000000000000036
J16   | t=           | F: C16-(C16-B16)*H16/(H16-I16) | V: 52.603422032035567
A17   | t=           | F:  | V: 2
B17   | t=           | F: C16 | V: 50
C17   | t=           | F: J16:J16 | V: 52.603422032035567
