SHEET: AHU

B2    | t=s          | F:  | V: Select AHU/PAU Components
I2    | t=s          | F:  | V: Select Brand
L2    | t=s          | F:  | V: AHU/PAU Quick Selection
W2    | t=s          | F:  | V: AHU/PAU Quick Selection
AH2   | t=s          | F:  | V: TRANE
J3    | t=           | F:  | V: 1
L3    | t=s          | F:  | V: Model: Trane - CLCP
W3    | t=s          | F:  | V: Model: Savier - A1 Series
AI3   | t=b          | F:  | V: 0
AJ3   | t=b          | F:  | V: 0
AK3   | t=b          | F:  | V: 0
AL3   | t=b          | F:  | V: 0
AP3   | t=b          | F:  | V: 0
AQ3   | t=b          | F:  | V: 0
AR3   | t=b          | F:  | V: 0
AS3   | t=b          | F:  | V: 0
AT3   | t=s          | F:  | V: Calculated Length (mm)
L4    | t=s          | F:  | V: Model No.
M4    | t=s          | F:  | V: AHU (2.5m/s)
P4    | t=s          | F:  | V: PAU (2.3m/s)
S4    | t=s          | F:  | V: Dimension (mm)
W4    | t=s          | F:  | V: Model No.
X4    | t=s          | F:  | V: AHU (2.5m/s)
AA4   | t=s          | F:  | V: PAU (2.3m/s)
AD4   | t=s          | F:  | V: Dimension (mm)
AL4   | t=s          | F:  | V: Cooling coil
AP4   | t=s          | F:  | V: Heating coil
M5    | t=s          | F:  | V: Supply Flow
P5    | t=s          | F:  | V: Primary Air Flow
X5    | t=s          | F:  | V: Supply Flow
AA5   | t=s          | F:  | V: Primary Air Flow
AH5   | t=s          | F:  | V: model
AI5   | t=s          | F:  | V: mixing
AJ5   | t=s          | F:  | V: Panel filter
AK5   | t=s          | F:  | V: bag filter
AL5   | t=s          | F:  | V: 1/2 row
AM5   | t=s          | F:  | V: 4 row
AN5   | t=s          | F:  | V: 6 row 
AO5   | t=s          | F:  | V: 8/10/12 row
AP5   | t=s          | F:  | V: 1/2 row
AQ5   | t=s          | F:  | V: humidifier
AR5   | t=s          | F:  | V: Fan
AS5   | t=s          | F:  | V: UV
M6    | t=s          | F:  | V: CMH
O6    | t=s          | F:  | V: L/s
P6    | t=s          | F:  | V: CMH
R6    | t=s          | F:  | V: L/s
S6    | t=s          | F:  | V: L*
T6    | t=s          | F:  | V: W
U6    | t=s          | F:  | V: H
X6    | t=s          | F:  | V: CMH
Z6    | t=s          | F:  | V: L/s
AA6   | t=s          | F:  | V: CMH
AC6   | t=s          | F:  | V: L/s
AD6   | t=s          | F:  | V: L*
AE6   | t=s          | F:  | V: W
AF6   | t=s          | F:  | V: H
AH6   | t=s          | F:  | V: 003
AI6   | t=           | F:  | V: 310
AJ6   | t=           | F:  | V: 155
AK6   | t=           | F:  | V: 620
AL6   | t=           | F:  | V: 310
AM6   | t=           | F:  | V: 310
AN6   | t=           | F:  | V: 465
AO6   | t=           | F:  | V: 620
AP6   | t=           | F:  | V: 310
AQ6   | t=           | F:  | V: 700
AR6   | t=           | F:  | V: 775
AS6   | t=           | F:  | V: 300
AT6   | t=           | F: IF($AI$3=TRUE,AI6,0) | V: 0
AU6   | t=           | F: IF($AJ$3=TRUE,AJ6,0) | V: 0
AV6   | t=           | F: IF($AK$3=TRUE,AK6,0) | V: 0
AW6   | t=           | F: IF($AL$3=TRUE,AN6,0) | V: 0
