SHEET: Fan

B2    | t=s          | F:  | V: Fan Selection
E3    | t=           | F:  | V: 3
G3    | t=s          | F:  | V: 
B11   | t=s          | F:  | V: Reference Brand:
D11   | t=s          | F:  | V: Kruger
T11   | t=s          | F:  | V: National
AN11  | t=s          | F:  | V: National
BH11  | t=s          | F:  | V: Ostberg
CB11  | t=s          | F:  | V: Kruger
B12   | t=s          | F:  | V: Fan Speed:
D12   | t=s          | F:  | V: ≤1450 RPM
T12   | t=s          | F:  | V: ≤1450 RPM
AN12  | t=s          | F:  | V: ≤1450 RPM
BH12  | t=s          | F:  | V: ≤1450 RPM
CB12  | t=s          | F:  | V: ≤2900 RPM
B14   | t=s          | F:  | V: External Static:
D14   | t=s          | F:  | V: 300 Pa
H14   | t=s          | F:  | V: 600 Pa
L14   | t=s          | F:  | V: 800 Pa
P14   | t=s          | F:  | V: 1000 Pa
T14   | t=s          | F:  | V: 300 Pa
X14   | t=s          | F:  | V: 600 Pa
AB14  | t=s          | F:  | V: 800 Pa
AF14  | t=s          | F:  | V: 1000 Pa
AJ14  | t=s          | F:  | V: 1200 Pa
AN14  | t=s          | F:  | V: 300 Pa
AR14  | t=s          | F:  | V: 600 Pa
AV14  | t=s          | F:  | V: 800 Pa
AZ14  | t=s          | F:  | V: 1000 Pa
BD14  | t=s          | F:  | V: 1200 Pa
BH14  | t=s          | F:  | V: 100 Pa
BL14  | t=s          | F:  | V: 200 Pa
BP14  | t=s          | F:  | V: 300 Pa
BT14  | t=s          | F:  | V: 400 Pa
BX14  | t=s          | F:  | V: 500 Pa
CB14  | t=s          | F:  | V: 300 Pa
CF14  | t=s          | F:  | V: 600 Pa
CJ14  | t=s          | F:  | V: 800 Pa
CN14  | t=s          | F:  | V: 1000 Pa
CR14  | t=s          | F:  | V: 1200 Pa
B15   | t=s          | F:  | V: Air Flow Rate
D15   | t=s          | F:  | V: Model No.
E15   | t=s          | F:  | V: ∅ Diameter x Length
F15   | t=s          | F:  | V: Weight
G15   | t=s          | F:  | V: Motor
H15   | t=s          | F:  | V: Model No.
I15   | t=s          | F:  | V: ∅ Diameter x Length
J15   | t=s          | F:  | V: Weight
K15   | t=s          | F:  | V: Motor
L15   | t=s          | F:  | V: Model No.
M15   | t=s          | F:  | V: ∅ Diameter x Length
N15   | t=s          | F:  | V: Weight
O15   | t=s          | F:  | V: Motor
P15   | t=s          | F:  | V: Model No.
Q15   | t=s          | F:  | V: ∅ Diameter x Length
R15   | t=s          | F:  | V: Weight
S15   | t=s          | F:  | V: Motor
T15   | t=s          | F:  | V: Model No.
U15   | t=s          | F:  | V: Dimensions
V15   | t=s          | F:  | V: Weight
W15   | t=s          | F:  | V: Motor
X15   | t=s          | F:  | V: Model No.
Y15   | t=s          | F:  | V: Dimensions
Z15   | t=s          | F:  | V: Weight
AA15  | t=s          | F:  | V: Motor
AB15  | t=s          | F:  | V: Model No.
AC15  | t=s          | F:  | V: Dimensions
AD15  | t=s          | F:  | V: Weight
AE15  | t=s          | F:  | V: Motor
AF15  | t=s          | F:  | V: Model No.
AG15  | t=s          | F:  | V: Dimensions
AH15  | t=s          | F:  | V: Weight
AI15  | t=s          | F:  | V: Motor
AJ15  | t=s          | F:  | V: Model No.
AK15  | t=s          | F:  | V: Dimensions
AL15  | t=s          | F:  | V: Weight
AM15  | t=s          | F:  | V: Motor
AN15  | t=s          | F:  | V: Model No.
AO15  | t=s          | F:  | V: Dimensions
AP15  | t=s          | F:  | V: Weight
AQ15  | t=s          | F:  | V: Motor
AR15  | t=s          | F:  | V: Model No.
AS15  | t=s          | F:  | V: Dimensions
AT15  | t=s          | F:  | V: Weight
AU15  | t=s          | F:  | V: Motor
AV15  | t=s          | F:  | V: Model No.
AW15  | t=s          | F:  | V: Dimensions
AX15  | t=s          | F:  | V: Weight
AY15  | t=s          | F:  | V: Motor
AZ15  | t=s          | F:  | V: Model No.
BA15  | t=s          | F:  | V: Dimensions
BB15  | t=s          | F:  | V: Weight
BC15  | t=s          | F:  | V: Motor
BD15  | t=s          | F:  | V: Model No.
BE15  | t=s          | F:  | V: Dimensions
BF15  | t=s          | F:  | V: Weight
BG15  | t=s          | F:  | V: Motor
BH15  | t=s          | F:  | V: Model No.
BI15  | t=s          | F:  | V: Dimensions
BJ15  | t=s          | F:  | V: Weight
BK15  | t=s          | F:  | V: Motor
BL15  | t=s          | F:  | V: Model No.
BM15  | t=s          | F:  | V: Dimensions
BN15  | t=s          | F:  | V: Weight
BO15  | t=s          | F:  | V: Motor
BP15  | t=s          | F:  | V: Model No.
BQ15  | t=s          | F:  | V: Dimensions
BR15  | t=s          | F:  | V: Weight
BS15  | t=s          | F:  | V: Motor
BT15  | t=s          | F:  | V: Model No.
BU15  | t=s          | F:  | V: Dimensions
BV15  | t=s          | F:  | V: Weight
BW15  | t=s          | F:  | V: Motor
BX15  | t=s          | F:  | V: Model No.
BY15  | t=s          | F:  | V: Dimensions
BZ15  | t=s          | F:  | V: Weight
CA15  | t=s          | F:  | V: Motor
CB15  | t=s          | F:  | V: Model No.
CC15  | t=s          | F:  | V: ∅ Diameter x Length
CD15  | t=s          | F:  | V: Weight
CE15  | t=s          | F:  | V: Motor
CF15  | t=s          | F:  | V: Model No.
CG15  | t=s          | F:  | V: ∅ Diameter x Length
CH15  | t=s          | F:  | V: Weight
CI15  | t=s          | F:  | V: Motor
CJ15  | t=s          | F:  | V: Model No.
CK15  | t=s          | F:  | V: ∅ Diameter x Length
CL15  | t=s          | F:  | V: Weight
CM15  | t=s          | F:  | V: Motor
CN15  | t=s          | F:  | V: Model No.
CO15  | t=s          | F:  | V: ∅ Diameter x Length
CP15  | t=s          | F:  | V: Weight
CQ15  | t=s          | F:  | V: Motor
CR15  | t=s          | F:  | V: Model No.
CS15  | t=s          | F:  | V: ∅ Diameter x Length
CT15  | t=s          | F:  | V: Weight
CU15  | t=s          | F:  | V: Motor
B16   | t=s          | F:  | V: m3/h
C16   | t=s          | F:  | V: L/s
F16   | t=s          | F:  | V: kg
G16   | t=s          | F:  | V: kW
J16   | t=s          | F:  | V: kg
K16   | t=s          | F:  | V: kW
N16   | t=s          | F:  | V: kg
O16   | t=s          | F:  | V: kW
R16   | t=s          | F:  | V: kg
S16   | t=s          | F:  | V: kW
U16   | t=s          | F:  | V: W x L x H
V16   | t=s          | F:  | V: kg
W16   | t=s          | F:  | V: kW
Y16   | t=s          | F:  | V: W x L x H
Z16   | t=s          | F:  | V: kg
AA16  | t=s          | F:  | V: kW
AC16  | t=s          | F:  | V: W x L x H
AD16  | t=s          | F:  | V: kg
AE16  | t=s          | F:  | V: kW
AG16  | t=s          | F:  | V: W x L x H
AH16  | t=s          | F:  | V: kg
AI16  | t=s          | F:  | V: kW
AK16  | t=s          | F:  | V: W x L x H
AL16  | t=s          | F:  | V: kg
AM16  | t=s          | F:  | V: kW
AO16  | t=s          | F:  | V: W x L x H
AP16  | t=s          | F:  | V: kg
AQ16  | t=s          | F:  | V: kW
AS16  | t=s          | F:  | V: W x L x H
AT16  | t=s          | F:  | V: kg
AU16  | t=s          | F:  | V: kW
AW16  | t=s          | F:  | V: W x L x H
AX16  | t=s          | F:  | V: kg
AY16  | t=s          | F:  | V: kW
